code,province,regency,year,ICVI
1901,Kepulauan Bangka Belitung,Bangka,2014,0.516537749
1901,Kepulauan Bangka Belitung,Bangka,2015,0.464942826
1901,Kepulauan Bangka Belitung,Bangka,2016,0.573875354
1901,Kepulauan Bangka Belitung,Bangka,2017,0.420276416
1901,Kepulauan Bangka Belitung,Bangka,2018,0.484326809
1901,Kepulauan Bangka Belitung,Bangka,2019,0.47951305
1901,Kepulauan Bangka Belitung,Bangka,2020,0.449230507
1901,Kepulauan Bangka Belitung,Bangka,2021,0.434832574
1901,Kepulauan Bangka Belitung,Bangka,2022,0.548645521
1901,Kepulauan Bangka Belitung,Bangka,2023,0.477500992
1902,Kepulauan Bangka Belitung,Belitung,2014,0.420574387
1902,Kepulauan Bangka Belitung,Belitung,2015,0.437481308
1902,Kepulauan Bangka Belitung,Belitung,2016,0.501814483
1902,Kepulauan Bangka Belitung,Belitung,2017,0.442785212
1902,Kepulauan Bangka Belitung,Belitung,2018,0.539078299
1902,Kepulauan Bangka Belitung,Belitung,2019,0.506360069
1902,Kepulauan Bangka Belitung,Belitung,2020,0.400482167
1902,Kepulauan Bangka Belitung,Belitung,2021,0.391465774
1902,Kepulauan Bangka Belitung,Belitung,2022,0.375860395
1902,Kepulauan Bangka Belitung,Belitung,2023,0.366528589
1903,Kepulauan Bangka Belitung,Bangka Barat,2014,0.564448905
1903,Kepulauan Bangka Belitung,Bangka Barat,2015,0.629145465
1903,Kepulauan Bangka Belitung,Bangka Barat,2016,0.642367581
1903,Kepulauan Bangka Belitung,Bangka Barat,2017,0.699996689
1903,Kepulauan Bangka Belitung,Bangka Barat,2018,0.725408687
1903,Kepulauan Bangka Belitung,Bangka Barat,2019,0.538786299
1903,Kepulauan Bangka Belitung,Bangka Barat,2020,0.52769784
1903,Kepulauan Bangka Belitung,Bangka Barat,2021,0.579132074
1903,Kepulauan Bangka Belitung,Bangka Barat,2022,0.577405789
1903,Kepulauan Bangka Belitung,Bangka Barat,2023,0.638011369
1904,Kepulauan Bangka Belitung,Bangka Tengah,2014,0.525391544
1904,Kepulauan Bangka Belitung,Bangka Tengah,2015,0.548091621
1904,Kepulauan Bangka Belitung,Bangka Tengah,2016,0.610165597
1904,Kepulauan Bangka Belitung,Bangka Tengah,2017,0.487662822
1904,Kepulauan Bangka Belitung,Bangka Tengah,2018,0.486160407
1904,Kepulauan Bangka Belitung,Bangka Tengah,2019,0.336543668
1904,Kepulauan Bangka Belitung,Bangka Tengah,2020,0.466765837
1904,Kepulauan Bangka Belitung,Bangka Tengah,2021,0.389323083
1904,Kepulauan Bangka Belitung,Bangka Tengah,2022,0.415514027
1904,Kepulauan Bangka Belitung,Bangka Tengah,2023,0.426329242
1905,Kepulauan Bangka Belitung,Bangka Selatan,2014,0.586393849
1905,Kepulauan Bangka Belitung,Bangka Selatan,2015,0.625744945
1905,Kepulauan Bangka Belitung,Bangka Selatan,2016,0.749377015
1905,Kepulauan Bangka Belitung,Bangka Selatan,2017,0.642145853
1905,Kepulauan Bangka Belitung,Bangka Selatan,2018,0.645206909
1905,Kepulauan Bangka Belitung,Bangka Selatan,2019,0.53424427
1905,Kepulauan Bangka Belitung,Bangka Selatan,2020,0.569338278
1905,Kepulauan Bangka Belitung,Bangka Selatan,2021,0.575183715
1905,Kepulauan Bangka Belitung,Bangka Selatan,2022,0.547597353
1905,Kepulauan Bangka Belitung,Bangka Selatan,2023,0.451848016
1906,Kepulauan Bangka Belitung,Belitung Timur,2014,0.443371176
1906,Kepulauan Bangka Belitung,Belitung Timur,2015,0.448308152
1906,Kepulauan Bangka Belitung,Belitung Timur,2016,0.55219243
1906,Kepulauan Bangka Belitung,Belitung Timur,2017,0.523703915
1906,Kepulauan Bangka Belitung,Belitung Timur,2018,0.497668726
1906,Kepulauan Bangka Belitung,Belitung Timur,2019,0.446241221
1906,Kepulauan Bangka Belitung,Belitung Timur,2020,0.363401585
1906,Kepulauan Bangka Belitung,Belitung Timur,2021,0.464328233
1906,Kepulauan Bangka Belitung,Belitung Timur,2022,0.410017683
1906,Kepulauan Bangka Belitung,Belitung Timur,2023,0.355637178
1971,Kepulauan Bangka Belitung,Kota Pangkal Pinang,2014,0.246839354
1971,Kepulauan Bangka Belitung,Kota Pangkal Pinang,2015,0.213321553
1971,Kepulauan Bangka Belitung,Kota Pangkal Pinang,2016,0.436471755
1971,Kepulauan Bangka Belitung,Kota Pangkal Pinang,2017,0.143748673
1971,Kepulauan Bangka Belitung,Kota Pangkal Pinang,2018,0.225220133
1971,Kepulauan Bangka Belitung,Kota Pangkal Pinang,2019,0.184904448
1971,Kepulauan Bangka Belitung,Kota Pangkal Pinang,2020,0.19735455
1971,Kepulauan Bangka Belitung,Kota Pangkal Pinang,2021,0.213453713
1971,Kepulauan Bangka Belitung,Kota Pangkal Pinang,2022,0.339694235
1971,Kepulauan Bangka Belitung,Kota Pangkal Pinang,2023,0.19707717
