code,province,regency,year,ICVI
5301,Nusa Tenggara Timur,Sumba Barat,2014,0.584020211
5301,Nusa Tenggara Timur,Sumba Barat,2015,0.541047412
5301,Nusa Tenggara Timur,Sumba Barat,2016,0.528196406
5301,Nusa Tenggara Timur,Sumba Barat,2017,0.524601096
5301,Nusa Tenggara Timur,Sumba Barat,2018,0.580080651
5301,Nusa Tenggara Timur,Sumba Barat,2019,0.527459441
5301,Nusa Tenggara Timur,Sumba Barat,2020,0.472478537
5301,Nusa Tenggara Timur,Sumba Barat,2021,0.439467971
5301,Nusa Tenggara Timur,Sumba Barat,2022,0.4821835
5301,Nusa Tenggara Timur,Sumba Barat,2023,0.437901896
5302,Nusa Tenggara Timur,Sumba Timur,2014,0.604223467
5302,Nusa Tenggara Timur,Sumba Timur,2015,0.527381532
5302,Nusa Tenggara Timur,Sumba Timur,2016,0.61744448
5302,Nusa Tenggara Timur,Sumba Timur,2017,0.548667039
5302,Nusa Tenggara Timur,Sumba Timur,2018,0.571681475
5302,Nusa Tenggara Timur,Sumba Timur,2019,0.509097382
5302,Nusa Tenggara Timur,Sumba Timur,2020,0.491206295
5302,Nusa Tenggara Timur,Sumba Timur,2021,0.465831809
5302,Nusa Tenggara Timur,Sumba Timur,2022,0.507705667
5302,Nusa Tenggara Timur,Sumba Timur,2023,0.469844948
5303,Nusa Tenggara Timur,Kupang,2014,0.690916227
5303,Nusa Tenggara Timur,Kupang,2015,0.677785467
5303,Nusa Tenggara Timur,Kupang,2016,0.600527185
5303,Nusa Tenggara Timur,Kupang,2017,0.542218545
5303,Nusa Tenggara Timur,Kupang,2018,0.552541806
5303,Nusa Tenggara Timur,Kupang,2019,0.520977628
5303,Nusa Tenggara Timur,Kupang,2020,0.477941505
5303,Nusa Tenggara Timur,Kupang,2021,0.452336736
5303,Nusa Tenggara Timur,Kupang,2022,0.456406117
5303,Nusa Tenggara Timur,Kupang,2023,0.420432853
5304,Nusa Tenggara Timur,Timor Tengah Selatan,2014,0.68691366
5304,Nusa Tenggara Timur,Timor Tengah Selatan,2015,0.598502809
5304,Nusa Tenggara Timur,Timor Tengah Selatan,2016,0.666313941
5304,Nusa Tenggara Timur,Timor Tengah Selatan,2017,0.533738154
5304,Nusa Tenggara Timur,Timor Tengah Selatan,2018,0.578408546
5304,Nusa Tenggara Timur,Timor Tengah Selatan,2019,0.583267281
5304,Nusa Tenggara Timur,Timor Tengah Selatan,2020,0.471819038
5304,Nusa Tenggara Timur,Timor Tengah Selatan,2021,0.509737722
5304,Nusa Tenggara Timur,Timor Tengah Selatan,2022,0.510969465
5304,Nusa Tenggara Timur,Timor Tengah Selatan,2023,0.422622102
5305,Nusa Tenggara Timur,Timor Tengah Utara,2014,0.522362666
5305,Nusa Tenggara Timur,Timor Tengah Utara,2015,0.456979176
5305,Nusa Tenggara Timur,Timor Tengah Utara,2016,0.393937268
5305,Nusa Tenggara Timur,Timor Tengah Utara,2017,0.431887388
5305,Nusa Tenggara Timur,Timor Tengah Utara,2018,0.364324228
5305,Nusa Tenggara Timur,Timor Tengah Utara,2019,0.395876818
5305,Nusa Tenggara Timur,Timor Tengah Utara,2020,0.376149487
5305,Nusa Tenggara Timur,Timor Tengah Utara,2021,0.364413201
5305,Nusa Tenggara Timur,Timor Tengah Utara,2022,0.335333462
5305,Nusa Tenggara Timur,Timor Tengah Utara,2023,0.288611295
5306,Nusa Tenggara Timur,Belu,2014,0.490465004
