code,province,regency,year,ICVI
7101,Sulawesi Utara,Bolaang Mongondow,2014,0.735170928
7101,Sulawesi Utara,Bolaang Mongondow,2015,0.700252895
7101,Sulawesi Utara,Bolaang Mongondow,2016,0.701307312
7101,Sulawesi Utara,Bolaang Mongondow,2017,0.609347804
7101,Sulawesi Utara,Bolaang Mongondow,2018,0.662011912
7101,Sulawesi Utara,Bolaang Mongondow,2019,0.616616215
7101,Sulawesi Utara,Bolaang Mongondow,2020,0.575414331
7101,Sulawesi Utara,Bolaang Mongondow,2021,0.598283661
7101,Sulawesi Utara,Bolaang Mongondow,2022,0.568580747
7101,Sulawesi Utara,Bolaang Mongondow,2023,0.513834344
7102,Sulawesi Utara,Minahasa,2014,0.60237727
7102,Sulawesi Utara,Minahasa,2015,0.549403478
7102,Sulawesi Utara,Minahasa,2016,0.609241608
7102,Sulawesi Utara,Minahasa,2017,0.634443261
7102,Sulawesi Utara,Minahasa,2018,0.594790683
7102,Sulawesi Utara,Minahasa,2019,0.563407947
7102,Sulawesi Utara,Minahasa,2020,0.411039748
7102,Sulawesi Utara,Minahasa,2021,0.560287538
7102,Sulawesi Utara,Minahasa,2022,0.540184818
7102,Sulawesi Utara,Minahasa,2023,0.494623687
7103,Sulawesi Utara,Kepulauan Sangihe,2014,0.508481971
7103,Sulawesi Utara,Kepulauan Sangihe,2015,0.381813273
7103,Sulawesi Utara,Kepulauan Sangihe,2016,0.531075845
7103,Sulawesi Utara,Kepulauan Sangihe,2017,0.458209032
7103,Sulawesi Utara,Kepulauan Sangihe,2018,0.378926819
7103,Sulawesi Utara,Kepulauan Sangihe,2019,0.443165643
7103,Sulawesi Utara,Kepulauan Sangihe,2020,0.441159834
7103,Sulawesi Utara,Kepulauan Sangihe,2021,0.426918826
7103,Sulawesi Utara,Kepulauan Sangihe,2022,0.243855799
7103,Sulawesi Utara,Kepulauan Sangihe,2023,0.384614242
7104,Sulawesi Utara,Kepulauan Talaud,2014,0.313544595
7104,Sulawesi Utara,Kepulauan Talaud,2015,0.396809385
7104,Sulawesi Utara,Kepulauan Talaud,2016,0.347268206
7104,Sulawesi Utara,Kepulauan Talaud,2017,0.236376425
7104,Sulawesi Utara,Kepulauan Talaud,2018,0.308315552
7104,Sulawesi Utara,Kepulauan Talaud,2019,0.24246497
7104,Sulawesi Utara,Kepulauan Talaud,2020,0.403975997
7104,Sulawesi Utara,Kepulauan Talaud,2021,0.353286123
7104,Sulawesi Utara,Kepulauan Talaud,2022,0.382599947
7104,Sulawesi Utara,Kepulauan Talaud,2023,0.221478233
7105,Sulawesi Utara,Minahasa Selatan,2014,0.536513112
7105,Sulawesi Utara,Minahasa Selatan,2015,0.706750335
7105,Sulawesi Utara,Minahasa Selatan,2016,0.571727486
7105,Sulawesi Utara,Minahasa Selatan,2017,0.492854453
7105,Sulawesi Utara,Minahasa Selatan,2018,0.501078555
7105,Sulawesi Utara,Minahasa Selatan,2019,0.420368139
7105,Sulawesi Utara,Minahasa Selatan,2020,0.547901906
7105,Sulawesi Utara,Minahasa Selatan,2021,0.476715336
7105,Sulawesi Utara,Minahasa Selatan,2022,0.599107228
7105,Sulawesi Utara,Minahasa Selatan,2023,0.352880073
7106,Sulawesi Utara,Minahasa Utara,2014,0.724162353
7106,Sulawesi Utara,Minahasa Utara,2015,0.765352832
7106,Sulawesi Utara,Minahasa Utara,2016,0.577790875
7106,Sulawesi Utara,Minahasa Utara,2017,0.541263616
7106,Sulawesi Utara,Minahasa Utara,2018,0.673022063
7106,Sulawesi Utara,Minahasa Utara,2019,0.564776799
7106,Sulawesi Utara,Minahasa Utara,2020,0.499244914
7106,Sulawesi Utara,Minahasa Utara,2021,0.444975193
7106,Sulawesi Utara,Minahasa Utara,2022,0.465381085
7106,Sulawesi Utara,Minahasa Utara,2023,0.589951095
7107,Sulawesi Utara,Bolaang Mongondow Utara,2014,0.583537831
7107,Sulawesi Utara,Bolaang Mongondow Utara,2015,0.645644719
7107,Sulawesi Utara,Bolaang Mongondow Utara,2016,0.650921414
7107,Sulawesi Utara,Bolaang Mongondow Utara,2017,0.51159924
7107,Sulawesi Utara,Bolaang Mongondow Utara,2018,0.565542893
7107,Sulawesi Utara,Bolaang Mongondow Utara,2019,0.656531017
7107,Sulawesi Utara,Bolaang Mongondow Utara,2020,0.573609833
7107,Sulawesi Utara,Bolaang Mongondow Utara,2021,0.516842636
7107,Sulawesi Utara,Bolaang Mongondow Utara,2022,0.542718066
7107,Sulawesi Utara,Bolaang Mongondow Utara,2023,0.552763546
7108,Sulawesi Utara,Siau Tagulandang Biaro,2014,0.326705578
7108,Sulawesi Utara,Siau Tagulandang Biaro,2015,0.356661188
7108,Sulawesi Utara,Siau Tagulandang Biaro,2016,0.371129362
7108,Sulawesi Utara,Siau Tagulandang Biaro,2017,0.272936958
7108,Sulawesi Utara,Siau Tagulandang Biaro,2018,0.181820269
7108,Sulawesi Utara,Siau Tagulandang Biaro,2019,0.371871472
7108,Sulawesi Utara,Siau Tagulandang Biaro,2020,0.153999071
7108,Sulawesi Utara,Siau Tagulandang Biaro,2021,0.185327155
7108,Sulawesi Utara,Siau Tagulandang Biaro,2022,0.337467748
7108,Sulawesi Utara,Siau Tagulandang Biaro,2023,0.159661831
7109,Sulawesi Utara,Minahasa Tenggara,2014,0.513304791
7109,Sulawesi Utara,Minahasa Tenggara,2015,0.66660888
7109,Sulawesi Utara,Minahasa Tenggara,2016,0.568751725
7109,Sulawesi Utara,Minahasa Tenggara,2017,0.489514216
7109,Sulawesi Utara,Minahasa Tenggara,2018,0.46848046
7109,Sulawesi Utara,Minahasa Tenggara,2019,0.502456813
7109,Sulawesi Utara,Minahasa Tenggara,2020,0.462489438
7109,Sulawesi Utara,Minahasa Tenggara,2021,0.603851764
7109,Sulawesi Utara,Minahasa Tenggara,2022,0.552814821
7109,Sulawesi Utara,Minahasa Tenggara,2023,0.499587796
7110,Sulawesi Utara,Bolaang Mongondow Selatan,2014,0.518469168
7110,Sulawesi Utara,Bolaang Mongondow Selatan,2015,0.551291673
7110,Sulawesi Utara,Bolaang Mongondow Selatan,2016,0.739867984
7110,Sulawesi Utara,Bolaang Mongondow Selatan,2017,0.585848264
7110,Sulawesi Utara,Bolaang Mongondow Selatan,2018,0.402332742
7110,Sulawesi Utara,Bolaang Mongondow Selatan,2019,0.438862892
7110,Sulawesi Utara,Bolaang Mongondow Selatan,2020,0.483361882
7110,Sulawesi Utara,Bolaang Mongondow Selatan,2021,0.516501973
7110,Sulawesi Utara,Bolaang Mongondow Selatan,2022,0.525262601
7110,Sulawesi Utara,Bolaang Mongondow Selatan,2023,0.460407772
7111,Sulawesi Utara,Bolaang Mongondow Timur,2014,0.555919424
7111,Sulawesi Utara,Bolaang Mongondow Timur,2015,0.592787327
7111,Sulawesi Utara,Bolaang Mongondow Timur,2016,0.572355233
7111,Sulawesi Utara,Bolaang Mongondow Timur,2017,0.481584424
7111,Sulawesi Utara,Bolaang Mongondow Timur,2018,0.481454654
7111,Sulawesi Utara,Bolaang Mongondow Timur,2019,0.476638811
7111,Sulawesi Utara,Bolaang Mongondow Timur,2020,0.499123713
7111,Sulawesi Utara,Bolaang Mongondow Timur,2021,0.521142866
7111,Sulawesi Utara,Bolaang Mongondow Timur,2022,0.508387471
7111,Sulawesi Utara,Bolaang Mongondow Timur,2023,0.460078601
7171,Sulawesi Utara,Kota Manado,2014,0.471180114
7171,Sulawesi Utara,Kota Manado,2015,0.48495637
7171,Sulawesi Utara,Kota Manado,2016,0.297806865
7171,Sulawesi Utara,Kota Manado,2017,0.359658002
7171,Sulawesi Utara,Kota Manado,2018,0.409707158
7171,Sulawesi Utara,Kota Manado,2019,0.437078547
7171,Sulawesi Utara,Kota Manado,2020,0.247322507
7171,Sulawesi Utara,Kota Manado,2021,0.338270599
7171,Sulawesi Utara,Kota Manado,2022,0.320429974
7171,Sulawesi Utara,Kota Manado,2023,0.357256608
7172,Sulawesi Utara,Kota Bitung,2014,0.482675901
7172,Sulawesi Utara,Kota Bitung,2015,0.558315
7172,Sulawesi Utara,Kota Bitung,2016,0.480167324
7172,Sulawesi Utara,Kota Bitung,2017,0.627382485
7172,Sulawesi Utara,Kota Bitung,2018,0.430872602
7172,Sulawesi Utara,Kota Bitung,2019,0.514702646
7172,Sulawesi Utara,Kota Bitung,2020,0.442838368
