code,province,year,ICVI
11,Aceh,2014,0.512376129
11,Aceh,2015,0.44199559
11,Aceh,2016,0.445484891
11,Aceh,2017,0.436520723
11,Aceh,2018,0.434813254
11,Aceh,2019,0.386230491
11,Aceh,2020,0.387617428
11,Aceh,2021,0.382732642
11,Aceh,2022,0.39381001
11,Aceh,2023,0.369457511
12,North Sumatra,2014,0.594606499
12,North Sumatra,2015,0.571206481
12,North Sumatra,2016,0.535971584
12,North Sumatra,2017,0.514065719
12,North Sumatra,2018,0.505055285
12,North Sumatra,2019,0.482010105
12,North Sumatra,2020,0.437391985
12,North Sumatra,2021,0.465109371
12,North Sumatra,2022,0.515811124
12,North Sumatra,2023,0.480884872
13,West Sumatra,2014,0.518515409
13,West Sumatra,2015,0.49487484
13,West Sumatra,2016,0.481968532
13,West Sumatra,2017,0.472484652
13,West Sumatra,2018,0.468270537
13,West Sumatra,2019,0.434919421
13,West Sumatra,2020,0.389272775
13,West Sumatra,2021,0.394778862
13,West Sumatra,2022,0.41971077
13,West Sumatra,2023,0.400179888
14,Riau,2014,0.511550867
14,Riau,2015,0.484189211
14,Riau,2016,0.461244836
14,Riau,2017,0.437681118
14,Riau,2018,0.443194181
14,Riau,2019,0.417686173
14,Riau,2020,0.441337271
14,Riau,2021,0.424502625
14,Riau,2022,0.43980928
14,Riau,2023,0.477599816
15,Jambi,2014,0.557484848
15,Jambi,2015,0.51949347
15,Jambi,2016,0.481290487
15,Jambi,2017,0.430993948
15,Jambi,2018,0.43312777
15,Jambi,2019,0.393072854
15,Jambi,2020,0.386581623
15,Jambi,2021,0.353208345
15,Jambi,2022,0.412293439
15,Jambi,2023,0.379033413
16,South Sumatra,2014,0.555936137
16,South Sumatra,2015,0.55639844
16,South Sumatra,2016,0.595618632
16,South Sumatra,2017,0.514820366
16,South Sumatra,2018,0.505232667
16,South Sumatra,2019,0.465924391
16,South Sumatra,2020,0.448013439
16,South Sumatra,2021,0.429092775
16,South Sumatra,2022,0.439075333
16,South Sumatra,2023,0.41993009
17,Bengkulu,2014,0.625426903
17,Bengkulu,2015,0.621923987
17,Bengkulu,2016,0.633492322
17,Bengkulu,2017,0.538463556
17,Bengkulu,2018,0.487416735
17,Bengkulu,2019,0.410552555
17,Bengkulu,2020,0.415995424
17,Bengkulu,2021,0.372687648
17,Bengkulu,2022,0.395785801
17,Bengkulu,2023,0.361304129
18,Lampung,2014,0.594980299
18,Lampung,2015,0.564964025
18,Lampung,2016,0.595348875
18,Lampung,2017,0.58230815
18,Lampung,2018,0.577044265
18,Lampung,2019,0.468335591
18,Lampung,2020,0.451398318
18,Lampung,2021,0.418192445
18,Lampung,2022,0.442173506
18,Lampung,2023,0.424281839
19,Bangka-Belitung Islands,2014,0.427859707
19,Bangka-Belitung Islands,2015,0.42082096
19,Bangka-Belitung Islands,2016,0.3563558
19,Bangka-Belitung Islands,2017,0.30624351
19,Bangka-Belitung Islands,2018,0.34248264
19,Bangka-Belitung Islands,2019,0.305651944
19,Bangka-Belitung Islands,2020,0.300831482
19,Bangka-Belitung Islands,2021,0.288470039
19,Bangka-Belitung Islands,2022,0.297914634
19,Bangka-Belitung Islands,2023,0.250809089
21,Riau Islands,2014,0.438340069
21,Riau Islands,2015,0.409624698
21,Riau Islands,2016,0.411346945
21,Riau Islands,2017,0.356188739
21,Riau Islands,2018,0.341379611
21,Riau Islands,2019,0.321969417
21,Riau Islands,2020,0.333145747
21,Riau Islands,2021,0.295002799
21,Riau Islands,2022,0.313571099
21,Riau Islands,2023,0.283172049
31,Jakarta Special Capital Region,2014,0.170796022
31,Jakarta Special Capital Region,2015,0.152179544
31,Jakarta Special Capital Region,2016,0.191690159
31,Jakarta Special Capital Region,2017,0.155139922
31,Jakarta Special Capital Region,2018,0.154901807
31,Jakarta Special Capital Region,2019,0.128586489
31,Jakarta Special Capital Region,2020,0.130332744
31,Jakarta Special Capital Region,2021,0.129640365
31,Jakarta Special Capital Region,2022,0.148804085
31,Jakarta Special Capital Region,2023,0.166479601
32,West Java,2014,0.426231144
32,West Java,2015,0.404915165
32,West Java,2016,0.431900404
32,West Java,2017,0.413874973
32,West Java,2018,0.417063409
32,West Java,2019,0.382269985
32,West Java,2020,0.391001572
32,West Java,2021,0.386339229
32,West Java,2022,0.404531391
32,West Java,2023,0.349211225
33,Central Java,2014,0.436609399
33,Central Java,2015,0.412088729
33,Central Java,2016,0.444977181
33,Central Java,2017,0.425596576
33,Central Java,2018,0.416346064
33,Central Java,2019,0.381091051
